id,section_id,year,technique_id,width,height,available,price,last_modified,lang,id,title,lang,id,name
1,11,1994,3,60,80,1,800,2008-01-16 11:19:23,en,1,Eva in un interno,en,11,Figures
2,11,1998,3,92,62,1,700,2008-01-16 11:19:23,en,2,Il velo,en,11,Figures
3,11,2001,3,80,60,1,930,2008-01-16 11:19:23,en,3,Eva che dorme,en,11,Figures
4,11,1999,3,80,80,1,1300,2008-01-16 11:19:23,en,4,Eva raccolta,en,11,Figures
5,11,2003,3,70,70,1,750,2008-01-16 11:19:23,en,5,Roberta 05,en,11,Figures
6,11,1998,3,150,100,1,3200,2008-01-16 11:19:23,en,6,Eva distesa,en,11,Figures
7,11,1998,3,80,80,1,1300,2008-01-16 11:19:23,en,7,Eva riposa,en,11,Figures
8,13,2004,3,45,75,"0",,2008-01-16 11:19:23,en,8,Casa a Maiottini,en,13,Landscapes
9,11,2001,3,75,100,1,1400,2008-01-22 17:28:44,en,9,Eva sul sofà,en,11,Figures
10,11,2001,3,70,100,1,930,2008-01-16 11:19:23,en,10,La bionda,en,11,Figures
11,19,1972,3,40,50,1,300,2008-01-16 11:19:23,en,11,Guitar,en,19,Informal
12,15,2002,10,20,25,"0",,2008-01-16 11:19:23,en,12,Il lampione,en,15,Foreshortenings
13,19,1972,3,40,50,1,300,2008-01-16 11:19:23,en,13,Family,en,19,Informal
14,19,1972,3,40,50,1,300,2008-01-16 11:19:23,en,14,Butterfly,en,19,Informal
15,11,1978,4,50,70,1,516,2008-01-16 11:19:23,en,15,Donna in spiaggia,en,11,Figures
16,11,2006,3,90,80,1,1000,2008-01-16 11:19:23,en,16,Michaela,en,11,Figures
17,13,2005,3,60,30,"0",,2008-01-16 11:19:23,en,17,Girasoli al Vivaro,en,13,Landscapes
18,19,1972,3,90,50,1,400,2008-01-16 11:19:23,en,18,Caos,en,19,Informal
19,11,1982,3,60,80,1,900,2008-01-16 11:19:23,en,19,Dietro la finestra,en,11,Figures
20,11,2002,3,30,40,1,400,2008-01-16 11:19:23,en,20,Eva nel bosco,en,11,Figures
21,11,2002,3,20,40,1,350,2008-01-16 11:19:23,en,21,Donna,en,11,Figures
22,13,1983,3,60,80,1,700,2008-01-16 11:19:23,en,22,La forsizia,en,13,Landscapes
23,11,2007,6,30,40,1,300,2008-01-16 11:19:23,en,23,The woman,en,11,Figures
24,15,2006,6,50,70,"0",,2008-01-16 11:19:23,en,24,I gerani,en,15,Foreshortenings
25,13,1999,3,65,45,1,400,2008-01-16 11:19:23,en,25,Le spighe,en,13,Landscapes
26,13,1999,3,70,70,1,800,2008-01-16 11:19:23,en,26,La forsizia,en,13,Landscapes
27,15,2007,10,15,35,"0",,2008-01-16 11:19:23,en,27,La finestra,en,15,Foreshortenings
28,15,2007,10,20,17,"0",,2008-01-16 11:19:23,en,28,Il portone,en,15,Foreshortenings
29,13,1980,3,60,60,1,600,2008-01-16 11:19:23,en,29,Il filo spinato,en,13,Landscapes
30,13,2007,6,23,30,1,150,2008-01-16 11:19:23,en,30,Luce nel bosco,en,13,Landscapes
31,13,2007,10,9,27,"0",,2008-01-22 16:03:26,en,31,Il boschetto,en,13,Landscapes
32,13,2002,10,30,40,1,300,2008-01-16 11:19:23,en,32,Val D'orcia,en,13,Landscapes
33,13,2007,6,18,28,"0",,2008-01-16 11:19:23,en,33,Autunno,en,13,Landscapes
34,13,2001,3,30,20,1,150,2008-01-22 16:39:26,en,34,Il bosco,en,13,Landscapes
35,13,2007,10,18,19,"0",,2008-01-22 16:39:24,en,35,Sottobosco,en,13,Landscapes
36,14,1993,8,45,30,1,150,2008-01-16 11:19:23,en,36,Vaso alla finestra,en,14,Flowers
37,14,1996,8,35,55,1,250,2008-01-16 11:19:23,en,37,Vaso con fiori,en,14,Flowers
38,14,1995,8,35,55,1,250,2008-01-16 11:19:23,en,38,Iris,en,14,Flowers
39,14,2002,3,20,30,"0",,2008-01-16 13:39:58,en,39,Vaso grigio,en,14,Flowers
40,13,2005,3,30,40,"0",,2008-01-16 11:19:23,en,40,Cardi,en,13,Landscapes
41,14,2001,3,35,55,1,300,2008-01-16 11:19:23,en,41,Glicini,en,14,Flowers
42,14,2002,3,30,40,1,300,2008-01-16 11:19:23,en,42,Girasoli,en,14,Flowers
43,11,2007,6,30,30,"0",,2008-01-16 11:19:23,en,43,Pudore,en,11,Figures
44,14,2002,3,40,30,"0",,2008-01-16 11:19:23,en,44,Girasoli,en,14,Flowers
45,1,2002,3,75,110,1,700,2008-01-16 11:19:23,en,45,La sfida,en,1,Horses
46,1,2002,3,150,75,1,1600,2008-01-22 17:31:02,en,46,Il branco 2,en,1,Horses
47,15,1994,8,30,55,1,300,2008-01-16 11:19:23,en,47,Arcinazzo Romano,en,15,Foreshortenings
48,15,1994,8,35,55,1,300,2008-01-16 11:19:23,en,48,Terracina,en,15,Foreshortenings
49,15,1984,3,60,80,1,600,2008-01-16 11:19:23,en,49,Giulianello,en,15,Foreshortenings
50,15,1994,8,55,30,1,300,2008-01-16 11:19:23,en,50,S. Felice Circeo,en,15,Foreshortenings
51,15,1994,8,35,55,1,300,2008-01-16 11:19:23,en,51,Creta,en,15,Foreshortenings
52,15,1972,3,50,70,1,500,2008-01-16 11:19:23,en,52,Valmontone,en,15,Foreshortenings
53,15,1985,3,70,80,1,750,2008-01-16 11:19:23,en,53,Il panno rosso,en,15,Foreshortenings
54,11,2006,3,100,70,1,1000,2008-01-16 11:19:23,en,54,Allegoria della primavera,en,11,Figures
55,15,2002,3,45,20,"0",,2008-01-16 11:19:23,en,55,Montelanico,en,15,Foreshortenings
56,15,2002,3,100,50,"0",,2008-01-16 11:19:23,en,56,Ponte Milvio,en,15,Foreshortenings
57,16,1989,3,70,50,1,516,2008-01-16 11:19:23,en,57,La frutta,en,16,Still natures
58,16,2002,3,20,30,1,130,2008-01-16 11:19:23,en,58,Natura morta,en,16,Still natures
59,11,2007,3,38,52,"0",,2008-01-16 11:19:23,en,59,Le mani 2,en,11,Figures
60,17,2002,3,55,33,"0",,2008-01-16 11:19:23,en,60,Marina,en,17,Seascapes
61,11,2007,3,48,50,"0",,2008-01-16 11:19:23,en,61,Le mani 1,en,11,Figures
62,17,2002,3,70,50,1,380,2008-01-16 11:19:23,en,62,Mare blu,en,17,Seascapes
63,11,2007,10,22,38,1,250,2008-01-16 11:19:23,en,63,La peruviana,en,11,Figures
64,13,2004,3,55,86,"0",,2008-01-16 11:19:23,en,64,L'albero della Mola,en,13,Landscapes
65,13,2007,6,20,32,1,130,2008-01-16 11:19:23,en,65,Tramonto sul lago,en,13,Landscapes
66,13,2003,3,60,30,1,400,2008-01-16 11:19:23,en,66,Le balle di fieno,en,13,Landscapes
67,13,2004,3,120,60,1,1000,2008-01-16 11:19:23,en,67,Cielo e fiori,en,13,Landscapes
68,13,2007,10,13,17,"0",,2008-01-22 16:36:21,en,68,Il vento,en,13,Landscapes
69,11,2003,3,55,86,1,800,2008-01-16 11:19:23,en,69,L'orientale,en,11,Figures
70,13,2004,3,70,35,1,400,2008-01-16 11:19:23,en,70,Campagna di Maiottini,en,13,Landscapes
71,13,2007,10,20,40,"0",,2008-01-16 11:19:23,en,71,L'albero,en,13,Landscapes
72,11,1998,3,150,100,1,3000,2008-01-16 11:19:23,en,72,Eva dormiente,en,11,Figures
73,11,1999,3,100,70,1,1400,2008-01-16 11:19:23,en,73,Eva in relax,en,11,Figures
74,11,2005,3,90,80,1,1000,2008-01-16 11:19:23,en,74,Michaela 1,en,11,Figures
75,11,2003,9,60,80,1,500,2008-01-16 11:19:23,en,75,Eva sul letto,en,11,Figures
76,11,1999,3,110,85,1,1700,2008-01-16 11:19:23,en,76,Eva sul letto 05,en,11,Figures
77,11,2002,3,27,45,"0",,2008-01-16 11:19:23,en,77,Ombelico,en,11,Figures
79,11,2003,3,80,40,1,750,2008-01-22 17:25:32,en,79,Eva nel bosco 3,en,11,Figures
80,13,2003,3,80,60,1,750,2008-01-16 11:19:23,en,80,La staccionata,en,13,Landscapes
81,13,2005,3,70,50,1,650,2008-01-22 16:12:52,en,81,Yellow field,en,13,Landscapes
83,18,2007,3,42,53,"0",,2008-01-16 11:19:23,en,83,Cristo,en,18,Holy pictures
84,13,2005,3,60,30,1,300,2008-01-16 11:19:23,en,84,In toscana,en,13,Landscapes
85,13,2003,3,50,25,1,300,2008-01-16 11:19:23,en,85,In montagna,en,13,Landscapes
86,14,2004,3,70,70,1,800,2008-01-16 11:19:23,en,86,Vaso con fiori ed uva,en,14,Flowers
87,11,2007,10,37,32,"0",,2008-01-16 11:19:23,en,87,nudo n.3,en,11,Figures
88,14,2004,3,60,30,"0",,2008-01-22 15:49:53,en,88,Vasi e fiori,en,14,Flowers
89,14,2003,3,70,70,1,700,2008-01-22 16:10:20,en,89,Ortensie,en,14,Flowers
90,14,2004,3,70,70,1,700,2008-01-16 11:19:23,en,90,Ortensie,en,14,Flowers
91,14,2004,3,40,50,1,450,2008-01-22 16:22:43,en,91,Yellow flowers,en,14,Flowers
92,14,2003,3,40,50,1,450,2008-01-22 16:53:36,en,92,Red flowers,en,14,Flowers
93,13,1997,6,50,21,1,100,2008-01-16 11:19:23,en,93,colline,en,13,Landscapes
94,13,1997,6,45,20,"0",,2008-01-16 11:19:23,en,94,La mola dei Piscali,en,13,Landscapes
96,18,1997,3,60,70,1,750,2008-01-16 11:19:23,en,96,Maternita',en,18,Holy pictures
97,18,2005,3,60,80,"0",,2008-01-22 16:09:07,en,97,Riproduzione di Madonna di A. Del Sarto,en,18,Holy pictures
98,18,2003,3,94,140,"0",,2008-01-16 11:19:23,en,98,Riproduzione dell'Immacolata Concezione del Tiepolo,en,18,Holy pictures
99,18,2004,3,130,70,"0",,2008-01-16 11:19:23,en,99,Riproduzione  del Tiepolo,en,18,Holy pictures
100,18,1997,3,70,80,"0",,2008-01-16 11:19:23,en,100,Riproduzione della Madonna del libro,en,18,Holy pictures
106,14,1997,3,80,60,"0",,2008-01-16 11:19:23,en,106,Vaso 36,en,14,Flowers
107,14,1997,3,92,62,"0",,2008-01-16 11:19:23,en,107,Vaso 37,en,14,Flowers
108,14,1997,3,70,60,"0",,2008-01-16 11:19:23,en,108,Vaso 38,en,14,Flowers
109,14,1997,3,50,70,"0",,2008-01-16 11:19:23,en,109,Vaso 39,en,14,Flowers
110,14,1996,9,50,30,"0",,2008-01-16 11:19:23,en,110,Vaso 40,en,14,Flowers
111,14,1999,10,20,30,"0",,2008-01-16 11:19:23,en,111,Vaso 43,en,14,Flowers
112,14,1996,3,40,60,"0",,2008-01-16 11:19:23,en,112,Vaso 59,en,14,Flowers
113,14,2003,3,40,30,"0",,2008-01-16 11:19:23,en,113,Bouquet,en,14,Flowers
114,14,2004,9,40,30,"0",,2008-01-16 11:19:23,en,114,Fiori,en,14,Flowers
115,14,2003,3,30,20,"0",,2008-01-16 11:19:23,en,115,Vaso 61,en,14,Flowers
116,11,2000,3,70,80,"0",,2008-01-16 11:19:23,en,116,10,en,11,Figures
117,11,2000,3,40,30,"0",,2008-01-16 11:19:23,en,117,20,en,11,Figures
118,11,1996,3,50,70,"0",,2008-01-16 11:19:23,en,118,30,en,11,Figures
119,11,2003,3,70,90,"0",,2008-01-16 11:19:23,en,119,40,en,11,Figures
120,11,1994,5,40,50,"0",,2008-01-16 11:19:23,en,120,50,en,11,Figures
121,11,2003,7,60,60,"0",,2008-01-16 11:19:23,en,121,60,en,11,Figures
122,11,2000,3,100,60,"0",,2008-01-16 11:19:23,en,122,70,en,11,Figures
123,11,2000,10,30,40,"0",,2008-01-16 11:19:23,en,123,80,en,11,Figures
124,11,1996,3,100,80,"0",,2008-01-16 11:19:23,en,124,90,en,11,Figures
125,11,1992,3,70,80,"0",,2008-01-16 11:19:23,en,125,100,en,11,Figures
126,11,2002,3,50,50,"0",,2008-01-16 11:19:23,en,126,110,en,11,Figures
127,11,2001,3,140,70,"0",,2008-01-16 11:19:23,en,127,120,en,11,Figures
128,11,2001,3,70,70,"0",,2008-01-16 11:19:23,en,128,130,en,11,Figures
129,11,1983,3,70,90,"0",,2008-01-16 11:19:23,en,129,140,en,11,Figures
130,11,2001,3,70,100,"0",,2008-01-16 11:19:23,en,130,150,en,11,Figures
131,11,1979,3,100,60,"0",,2008-01-16 11:19:23,en,131,160,en,11,Figures
132,11,1992,3,60,70,"0",,2008-01-16 11:19:23,en,132,170,en,11,Figures
133,11,1997,3,55,75,"0",,2008-01-16 11:19:23,en,133,180,en,11,Figures
134,11,2001,3,30,40,"0",,2008-01-16 11:19:23,en,134,190,en,11,Figures
135,11,2001,3,30,40,1,300,2008-01-16 11:19:23,en,135,200,en,11,Figures
136,11,1998,3,80,70,"0",,2008-01-16 11:19:23,en,136,220,en,11,Figures
137,11,1979,3,70,100,"0",,2008-01-16 11:19:23,en,137,240,en,11,Figures
138,11,2000,10,30,40,"0",,2008-01-16 11:19:23,en,138,250,en,11,Figures
139,11,1977,4,60,60,"0",,2008-01-16 11:19:23,en,139,260,en,11,Figures
140,13,1990,3,60,60,"0",,2008-01-16 11:19:23,en,140,20s,en,13,Landscapes
141,13,1997,3,60,70,"0",,2008-01-16 11:19:23,en,141,25s,en,13,Landscapes
142,15,1997,9,35,55,"0",,2008-01-16 11:19:23,en,142,26s,en,15,Foreshortenings
143,15,1997,9,35,55,"0",,2008-01-16 11:19:23,en,143,27s,en,15,Foreshortenings
144,15,1997,9,35,55,"0",,2008-01-16 11:19:23,en,144,28s,en,15,Foreshortenings
145,15,1997,9,35,55,"0",,2008-01-16 11:19:23,en,145,29s,en,15,Foreshortenings
146,15,1997,9,35,55,"0",,2008-01-16 11:19:23,en,146,30s,en,15,Foreshortenings
147,15,1999,3,45,65,"0",,2008-01-16 11:19:23,en,147,31s,en,15,Foreshortenings
148,13,2003,3,45,65,"0",,2008-01-16 11:19:23,en,148,32s,en,13,Landscapes
149,15,1986,10,55,45,"0",,2008-01-16 11:19:23,en,149,33s,en,15,Foreshortenings
150,15,2002,10,25,45,"0",,2008-01-16 11:19:23,en,150,34s,en,15,Foreshortenings
151,15,2002,10,25,45,"0",,2008-01-16 11:19:23,en,151,35s,en,15,Foreshortenings
152,13,2000,10,15,25,"0",,2008-01-16 11:19:23,en,152,36s,en,13,Landscapes
153,13,1979,3,60,80,"0",,2008-01-16 11:19:23,en,153,40s,en,13,Landscapes
154,13,2003,10,60,30,"0",,2008-01-16 11:19:23,en,154,50s,en,13,Landscapes
155,15,2000,10,15,10,"0",,2008-01-16 11:19:23,en,155,60s,en,15,Foreshortenings
156,13,2002,3,60,30,"0",,2008-01-16 11:19:23,en,156,70s,en,13,Landscapes
157,15,2001,10,30,20,"0",,2008-01-16 11:19:23,en,157,80s,en,15,Foreshortenings
158,15,2001,10,15,10,"0",,2008-01-16 11:19:23,en,158,90s,en,15,Foreshortenings
159,13,2001,10,15,10,"0",,2008-01-16 11:19:23,en,159,100s,en,13,Landscapes
160,13,2003,3,65,45,"0",,2008-01-16 11:19:23,en,160,"01",en,13,Landscapes
